age,income,debt_to_income,credit_history_length,num_credit_accounts,payment_history_score,credit_utilization,num_late_payments,employment_years,credit_score,credit_worthy
56,15000.0,0.2651897130547892,4,4,0.21454274883982327,0.46420507128744226,1,36,571,0
69,53676.9908950739,0.044429368499689564,24,6,0.9052688742196611,0.296643031651769,2,24,730,1
46,86010.22363021708,0.6577016763704537,23,4,0.7399996931789017,0.6163420912067372,3,15,727,1
32,74778.92705878874,0.9489595354324093,9,3,0.4646590955747425,0.8993822263079734,1,14,637,0
60,54193.18830549251,0.7462589348443722,24,2,0.301370311513526,0.5125874875232108,1,22,676,1
25,40167.276287359055,1.0673967566581628,7,4,0.3913173596955972,0.980675945082631,0,7,587,0
78,66142.4519327462,0.36691675767178844,7,10,0.7164952099265893,0.3927081866697363,5,5,626,0
38,30529.07600591063,0.25136381508133354,20,2,0.8933862535772502,0.38634823246973293,1,20,689,1
56,59527.15538712438,0.687634697596975,19,7,0.7803190300586534,0.5406136246036015,0,22,745,1
75,60109.403183332535,0.7621192287015853,24,1,0.4908629639522411,0.47068139311335944,3,11,696,1
36,71204.1981499776,0.8745319201476001,15,14,0.545278711466839,0.6432705281625026,2,12,675,1
40,105193.20077822155,1.0090253709310573,11,11,0.22230792341911346,0.8199106653181986,1,22,661,1
28,57848.31934357534,0.8333081475608056,8,1,0.6005543134071507,0.6712612535968661,2,10,620,0
28,39820.727485850024,1.0160491000235459,9,5,0.5001761955073358,0.9071139118556515,2,10,590,0
41,49488.51375616011,0.4519608809896236,15,7,0.7370196712746736,0.38918283201559856,3,5,686,1
70,15000.0,0.09778161280713804,9,14,0.6621251906724448,0.2527936773982928,1,37,626,0
53,36105.73737821884,0.628897468930045,8,1,0.658103116301896,0.6746829079237522,2,35,579,0
57,41814.35123773792,0.21298710115953817,29,12,0.5922075195335138,0.3494675678557802,0,7,710,1
41,39518.23204130815,0.4448003316548646,23,12,0.35580576354685167,0.2495067035777255,1,7,685,1
20,53047.09744067444,0.21526523948820075,2,4,0.6692818880679781,0.34439505542754145,2,2,646,0
39,33551.60135235599,0.7694739476203081,21,5,0.557648433001412,0.34393145072822806,1,21,648,0
70,72420.61334648944,0.2607939452078227,27,2,0.4294829249037698,0.118996696505326,2,33,717,1
19,50004.14129836394,0.03521315105076644,1,7,0.7929105101093055,0.23827227580463492,2,1,680,1
41,49813.99357722771,0.9022951480258741,10,4,0.506491713661198,0.7723893958398617,0,23,605,0
61,43442.10566974164,0.6743494671676511,5,8,0.59196259739505,0.7568033437152756,3,34,576,0
47,53103.81367717958,0.8754222951798738,5,14,0.6058625612202492,0.7372939598035668,2,21,595,0
55,66501.9652933527,0.7564070551466273,14,14,0.7360421679915239,0.8126668544327853,0,22,663,1
19,32657.395685781994,0.015975925450362125,1,1,0.8075310371720891,0.14605901965208945,1,1,613,0
77,36837.670218494866,0.4025577710884819,14,10,0.9915990041820049,0.31942118444604367,3,21,681,1
38,43925.47942446671,0.15484170764836777,12,1,0.6586057815126775,0.14915299659688738,1,4,705,1
50,23082.581530535703,1.0183952100521396,21,1,0.8163026027371394,0.947357995895356,0,30,690,1
29,33614.84280557005,0.8935708631647136,4,4,0.8618009996595807,0.6960016060146252,1,11,611,0
75,40475.58252910682,0.15202228302191667,13,1,0.5835599229772402,0.21593605527881232,2,27,698,1
39,67487.78361425456,0.5684048843106072,20,5,0.6256408645640954,0.47363296828792734,1,19,726,1
78,55251.2265800385,1.1848118136899115,1,14,0.6329278388923425,0.8350812014101423,1,32,602,0
61,53871.79822735089,0.6862946348372255,29,14,0.9469206937637901,0.512563943784959,3,15,737,1
42,67017.95924335945,0.8304656815079707,22,6,0.8748391269948332,0.7049859962987097,3,24,716,1
66,47252.56423201207,0.4578472949968404,11,7,0.8119695842777319,0.22232873440188275,1,22,687,1
